startIP,endIP,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1386575017,1386575017,,,malware,,,,,
1176924574,1176924574,,,malware,,,,,
773665025,773665025,,,malware,,,,,
782269863,782269863,,,malware,,,,,
1329264365,1329264365,,,malware,,,,,
387405059,387405059,,,malware,,,,,
1297994740,1297994740,,,malware,,,,,
1317141032,1317141032,,,malware,,,,,
3368271917,3368271917,,,malware,,,,,
2065625154,2065625154,,,malware,,,,,
1435491253,1435491253,,,malware,,,,,
3536651979,3536651979,,,malware,,,,,
772861970,772861970,,,malware,,,,,
2209332176,2209332176,,,malware,,,,,
1427500007,1427500007,,,malware,,,,,
1117401090,1117401090,,,malware,,,,,
3233362125,3233362125,,,malware,,,,,
1652786177,1652786177,,,malware,,,,,
1078334241,1078334241,,,malware,,,,,
2919111769,2919111769,,,malware,,,,,
1382417952,1382417952,,,malware,,,,,
3093243236,3093243236,,,malware,,,,,
1541448052,1541448052,,,malware,,,,,
1163466356,1163466356,,,malware,,,,,
3249705707,3249705707,,,malware,,,,,
1475509913,1475509913,,,malware,,,,,
3249100791,3249100791,,,malware,,,,,
92763085,92763085,,,malware,,,,,
3416116226,3416116226,,,malware,,,,,
92763082,92763082,,,malware,,,,,
1533240986,1533240986,,,malware,,,,,
3326070819,3326070819,,,malware,,,,,
1488852552,1488852552,,,malware,,,,,
3564480907,3564480907,,,malware,,,,,
1113645009,1113645009,,,malware,,,,,
2694393926,2694393926,,,malware,,,,,
3629628077,3629628077,,,malware,,,,,
3233478916,3233478916,,,malware,,,,,
1087009735,1087009735,,,malware,,,,,
1848477877,1848477877,,,malware,,,,,
1806965325,1806965325,,,malware,,,,,
2609189493,2609189493,,,malware,,,,,
1403816987,1403816987,,,malware,,,,,
3035338312,3035338312,,,malware,,,,,
3402924808,3402924808,,,malware,,,,,
1540730414,1540730414,,,malware,,,,,
1127973530,1127973530,,,malware,,,,,
1728610253,1728610253,,,malware,,,,,
3562322756,3562322756,,,malware,,,,,
1331733098,1331733098,,,malware,,,,,
531276688,531276688,,,malware,,,,,
1500267329,1500267329,,,malware,,,,,
1823722009,1823722009,,,malware,,,,,
3163178144,3163178144,,,malware,,,,,
1540989581,1540989581,,,malware,,,,,
1572768931,1572768931,,,malware,,,,,
2382385080,2382385080,,,malware,,,,,
844567167,844567167,,,malware,,,,,
1358590703,1358590703,,,malware,,,,,
3453063006,3453063006,,,malware,,,,,
2919111823,2919111823,,,malware,,,,,
1841598345,1841598345,,,malware,,,,,
1508524168,1508524168,,,malware,,,,,
3485222315,3485222315,,,malware,,,,,
1139276094,1139276094,,,malware,,,,,
2156273239,2156273239,,,malware,,,,,
2918530380,2918530380,,,malware,,,,,
633050578,633050578,,,malware,,,,,
1110559112,1110559112,,,malware,,,,,
3161727749,3161727749,,,malware,,,,,
3496859707,3496859707,,,malware,,,,,
1572768878,1572768878,,,malware,,,,,
1223220120,1223220120,,,malware,,,,,
1317540970,1317540970,,,malware,,,,,
635108979,635108979,,,malware,,,,,
